name,type,rating,popularity,keywords,image
上海迪士尼度假区,主题公园,4.7,10.0,娱乐|公园,/backend/gugong.jpg
东方明珠,地标景观,4.7,8.8,地标|建筑|人文景观,/backend/gugong.jpg
上海海昌海洋公园,主题公园,4.6,8.5,娱乐|动植物,/backend/gugong.jpg
上海博物馆,展馆展览,4.6,8.4,展览,/backend/gugong.jpg
豫园,主题公园,4.7,8.3,人文景观,/backend/gugong.jpg
上海野生动物园,主题公园,4.7,8.2,娱乐|动植物,/backend/gugong.jpg
上海天文馆,展馆展览,4.9,8.2,展览|科技,/backend/gugong.jpg
黄浦江,地标景观,4.8,7.9,自然景观|地标,/backend/gugong.jpg
上海中心大厦,地标景观,4.5,7.8,地标|建筑,/backend/gugong.jpg
上海海洋水族馆,主题公园,4.6,7.8,动植物,/backend/gugong.jpg
上海之巅观光厅,展馆展览,4.6,7.7,展览,/backend/gugong.jpg
城隍庙旅游区,历史名胜,4.7,7.5,历史|建筑,/backend/gugong.jpg
上海动物园,主题公园,4.7,7.5,动植物|公园,/backend/gugong.jpg
迪士尼小镇,主题公园,4.8,7.4,娱乐|公园,/backend/gugong.jpg
上海欢乐谷,主题公园,4.7,7.4,娱乐,/backend/gugong.jpg
上海佘山国家旅游度假区,主题公园,4.7,7.4,娱乐,/backend/gugong.jpg
南京路步行街,地标景观,4.7,7.3,娱乐|人文景观,/backend/gugong.jpg
上海自然博物馆,展馆展览,4.8,7.1,展览|动植物,/backend/gugong.jpg
陆家嘴,地标景观,4.8,7.1,地标|人文景观,/backend/gugong.jpg
上海杜莎夫人蜡像馆,展馆展览,4.5,7.1,展览,/backend/gugong.jpg
金茂大厦,地标景观,4.7,7.1,地标|建筑,/backend/gugong.jpg
上海影视乐园,主题公园,4.2,7.0,娱乐|公园,/backend/gugong.jpg
外滩观光隧道,地标景观,3.8,6.9,娱乐,/backend/gugong.jpg
朱家角古镇景区,历史名胜,4.5,6.8,历史|建筑,/backend/gugong.jpg
浦东美术馆,展馆展览,4.6,6.8,展览,/backend/gugong.jpg
静安寺,历史名胜,4.6,6.7,历史|建筑,/backend/gugong.jpg
上海科技馆,展馆展览,4.7,6.5,展览|科技,/backend/gugong.jpg
广富林文化遗址,历史名胜,4.6,6.5,历史|展览,/backend/gugong.jpg
上海汽车博物馆,展馆展览,4.7,6.5,展览|科技,/backend/gugong.jpg
中国航海博物馆,展馆展览,4.7,6.5,展览|科技,/backend/gugong.jpg
疯狂动物城,主题公园,4.7,6.3,娱乐|公园,/backend/gugong.jpg
上海大自然野生昆虫馆,展馆展览,4.4,6.2,展览|动植物,/backend/gugong.jpg
上海薰衣草公园,主题公园,4.7,6.1,公园|动植物,/backend/gugong.jpg
上海温室花园,主题公园,4.7,6.0,公园|动植物,/backend/gugong.jpg
世博文化公园,主题公园,4.5,6.0,公园,/backend/gugong.jpg
上海电影博物馆,展馆展览,4.7,6.0,展览,/backend/gugong.jpg
